Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
539700,365500.6403995701,-5816842.372147896,-5054833.943014321,150.4335272325063,0.132641828860106,0,3182.614910649136,4179.377404972911,-4578.515442088246,0.2983724698424339,4.555564373731613,4.385365173220634,259721.700,2296
539800,365818.9033612539,-5816424.411637001,-5055291.77261932,150.4307565243349,0.1326406746567242,0,3182.644316693768,4179.832801222801,-4578.076646197587,0.2981396391987801,4.555098712444305,4.386063665151596,259721.800,2296
539900,366137.1692629245,-5816006.405588463,-5055749.558342649,150.4279851796342,0.1326395113213984,0,3182.673698873259,4180.288151372224,-4577.637800946832,0.292900949716568,4.552537575364113,4.389788955450058,259721.900,2296
540000,366455.4381024849,-5815588.354005944,-5056207.300180311,150.4252132157161,0.1326383504866823,0,3182.703075464815,4180.743481498212,-4577.198933809996,0.2968008629977703,4.55719418823719,4.385132342576981,259722.000,2296
540100,366773.7098778749,-5815170.256893066,-5056664.998128361,150.4224406728697,0.1326372128796989,0,3182.73242295254,4181.198767386377,-4576.760017778724,0.2909218892455101,4.552537575364113,4.389090463519096,259722.100,2296
540200,367091.9845869862,-5814752.114253514,-5057122.652182793,150.4196675212567,0.132636045418887,0,3182.761755189858,4181.654015555978,-4576.321062166244,0.2970919013023376,4.559755325317383,4.381174221634865,259722.200,2296
540300,367410.2622277527,-5814333.926090905,-5057580.262339666,150.4168937189185,0.1326348760462831,0,3182.791062514298,4182.109228800982,-4575.882067903876,0.2988963387906551,4.556030035018921,4.385830834507942,259722.300,2296
540400,367728.5427981059,-5813915.692408895,-5058037.828594996,150.4141194746178,0.132633719332305,0,3182.820339337923,4182.564400602132,-4575.443028472364,0.298256054520607,4.554865881800652,4.386529326438904,259722.400,2296
540500,368046.8262959521,-5813497.413211137,-5058495.350944811,150.4113445674991,0.1326325351558048,0,3182.849610573612,4183.019547723234,-4575.003961566836,0.2943561412394047,4.552770406007767,4.388391971588135,259722.500,2296
540600,368365.1127192031,-5813079.088501288,-5058952.82938513,150.4085690602745,0.1326313551206078,0,3182.878855266608,4183.474652003497,-4574.564848095179,0.2930173650383949,4.555098712444305,4.387460649013519,259722.600,2296
540700,368683.4020657779,-5812660.718282997,-5059410.263911981,150.4057929622003,0.1326301746938804,0,3182.908084127121,4183.929719030857,-4574.125694576651,0.2927263267338276,4.553934559226036,4.387227818369865,259722.700,2296
540800,369001.6943335943,-5812242.302559902,-5059867.65452141,150.4030162005868,0.1326289721878997,0,3182.937286212109,4184.384748805314,-4573.68650007993,0.2912129275500774,4.54694963991642,4.39654104411602,259722.800,2296
540900,369319.9895205784,-5811823.841335669,-5060325.001209427,150.4002390004192,0.1326277750564346,0,3182.966462802142,4184.839743189514,-4573.247266933322,0.2908636815845966,4.546018317341805,4.397006705403328,259722.900,2296
541000,369638.2876246453,-5811405.334613941,-5060782.303972072,150.3974611290743,0.1326265770632978,0,3182.995623210445,4185.294699389488,-4572.807994205505,0.285683199763298,4.542525857686996,4.40073199570179,259723.000,2296
541100,369956.5886437029,-5810986.782398381,-5061239.562805362,150.3946826805613,0.1326253766674904,0,3183.024756610394,4185.749612748623,-4572.368673048913,0.2896413207054138,4.546716809272766,4.395609721541405,259723.100,2296
541200,370274.8925756835,-5810568.184692625,-5061696.777705347,150.3919036291744,0.1326241665402952,0,3183.053875807673,4186.204495839775,-4571.929320693016,0.2795131877064705,4.538334906101227,4.405155777931213,259723.200,2296
541300,370593.1994184887,-5810149.541500341,-5062153.948668036,150.3891239891691,0.1326229567312009,0,3183.08297614567,4186.659340746701,-4571.489924099296,0.281317625194788,4.540197551250458,4.402827471494675,259723.300,2296
