datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:02:47.500000,-2979.60970,-71251.24165,11628.54829,72255.38489
2024-01-10T00:02:48.500000,-2978.84793,-71247.37074,11623.63636,72250.74598
2024-01-10T00:02:49.500000,-2978.08392,-71243.49476,11618.71189,72246.10021
2024-01-10T00:02:50.500000,-2977.31762,-71239.61369,11613.77488,72241.44756
2024-01-10T00:02:51.500000,-2976.54904,-71235.72753,11608.82531,72236.78804
2024-01-10T00:02:52.500000,-2975.77823,-71231.83630,11603.86318,72232.12166
2024-01-10T00:02:53.500000,-2975.00519,-71227.94000,11598.88850,72227.44843
2024-01-10T00:02:54.500000,-2974.22992,-71224.03863,11593.90126,72222.76836
2024-01-10T00:02:55.500000,-2973.45245,-71220.13220,11588.90146,72218.08144
2024-01-10T00:02:56.500000,-2972.67277,-71216.22070,11583.88909,72213.38769
2024-01-10T00:02:57.500000,-2971.89089,-71212.30415,11578.86416,72208.68711
2024-01-10T00:02:58.500000,-2971.10684,-71208.38255,11573.82667,72203.97970
2024-01-10T00:02:59.500000,-2970.32062,-71204.45589,11568.77660,72199.26547
2024-01-10T00:03:00.500000,-2969.53226,-71200.52418,11563.71402,72194.54444
2024-01-10T00:03:01.500000,-2968.74177,-71196.58744,11558.63880,72189.81661
2024-01-10T00:03:02.500000,-2967.94912,-71192.64565,11553.55100,72185.08196
2024-01-10T00:03:03.500000,-2967.15433,-71188.69879,11548.45063,72180.34049
2024-01-10T00:03:04.500000,-2966.35739,-71184.74688,11543.33769,72175.59220
2024-01-10T00:03:05.500000,-2965.55830,-71180.78990,11538.21217,72170.83709
2024-01-10T00:03:06.500000,-2964.75706,-71176.82785,11533.07408,72166.07516
2024-01-10T00:03:07.500000,-2963.95368,-71172.86072,11527.92343,72161.30641
2024-01-10T00:03:08.500000,-2963.14817,-71168.88851,11522.76021,72156.53084
2024-01-10T00:03:09.500000,-2962.34051,-71164.91123,11517.58443,72151.74844
2024-01-10T00:03:10.500000,-2961.53069,-71160.92887,11512.39596,72146.95920
2024-01-10T00:03:11.500000,-2960.71872,-71156.94138,11507.19509,72142.16313
2024-01-10T00:03:12.500000,-2959.90463,-71152.94881,11501.98168,72137.36024
2024-01-10T00:03:13.500000,-2959.08843,-71148.95116,11496.75572,72132.55054
2024-01-10T00:03:14.500000,-2958.27014,-71144.94843,11491.51722,72127.73403
2024-01-10T00:03:15.500000,-2957.44975,-71140.94063,11486.26617,72122.91073
2024-01-10T00:03:16.500000,-2956.62729,-71136.92776,11481.00256,72118.08064
2024-01-10T00:03:17.500000,-2955.80277,-71132.90983,11475.72640,72113.24377
2024-01-10T00:03:18.500000,-2954.97619,-71128.88684,11470.43768,72108.40012
2024-01-10T00:03:19.500000,-2954.14757,-71124.85879,11465.13639,72103.54970
2024-01-10T00:03:20.500000,-2953.31693,-71120.82569,11459.82270,72098.69252
2024-01-10T00:03:21.500000,-2952.48429,-71116.78758,11454.49622,72093.82860
2024-01-10T00:03:22.500000,-2951.64963,-71112.74443,11449.15715,72088.95793
2024-01-10T00:03:23.500000,-2950.81293,-71108.69623,11443.80548,72084.08049
2024-01-10T00:03:24.500000,-2949.97422,-71104.64299,11438.44121,72079.19631
2024-01-10T00:03:25.500000,-2949.13348,-71100.58471,11433.06433,72074.30537
2024-01-10T00:03:26.500000,-2948.29073,-71096.52139,11427.67486,72069.40769
2024-01-10T00:03:27.500000,-2947.44595,-71092.45301,11422.27279,72064.50325
2024-01-10T00:03:28.500000,-2946.59914,-71088.37959,11416.85812,72059.59207
2024-01-10T00:03:29.500000,-2945.75032,-71084.30112,11411.43086,72054.67414
2024-01-10T00:03:30.500000,-2944.89946,-71080.21761,11405.99086,72049.74945
2024-01-10T00:03:31.500000,-2944.04657,-71076.12901,11400.53847,72044.81802
2024-01-10T00:03:32.500000,-2943.19166,-71072.03536,11395.07350,72039.87984
2024-01-10T00:03:33.500000,-2942.33475,-71067.93666,11389.59597,72034.93493
2024-01-10T00:03:34.500000,-2941.47585,-71063.83290,11384.10587,72029.98329
2024-01-10T00:03:35.500000,-2940.61495,-71059.72408,11378.60321,72025.02492
2024-01-10T00:03:36.500000,-2939.75208,-71055.61022,11373.08799,72020.05982
2024-01-10T00:03:37.500000,-2938.88723,-71051.49131,11367.56019,72015.08800
2024-01-10T00:03:38.500000,-2938.02042,-71047.36735,11362.01983,72010.10947
2024-01-10T00:03:39.500000,-2937.15165,-71043.23834,11356.46689,72005.12422
2024-01-10T00:03:40.500000,-2936.28095,-71039.10428,11350.90148,72000.13227
2024-01-10T00:03:41.500000,-2935.40833,-71034.96521,11345.32336,71995.13363
2024-01-10T00:03:42.500000,-2934.53376,-71030.82109,11339.73266,71990.12828
2024-01-10T00:03:43.500000,-2933.65727,-71026.67194,11334.12935,71985.11624
2024-01-10T00:03:44.500000,-2932.77885,-71022.51775,11328.51345,71980.09751
2024-01-10T00:03:45.500000,-2931.89850,-71018.35853,11322.88495,71975.07208
2024-01-10T00:03:46.500000,-2931.01624,-71014.19428,11317.24385,71970.03998
2024-01-10T00:03:47.500000,-2930.13207,-71010.02500,11311.59014,71965.00119
2024-01-10T00:03:48.500000,-2929.24599,-71005.85069,11305.92383,71959.95572
2024-01-10T00:03:49.500000,-2928.35800,-71001.67135,11300.24492,71954.90359
2024-01-10T00:03:50.500000,-2927.46810,-70997.48699,11294.55336,71949.84478
2024-01-10T00:03:51.500000,-2926.57630,-70993.29759,11288.84925,71944.77930
2024-01-10T00:03:52.500000,-2925.68262,-70989.10316,11283.13255,71939.70716
2024-01-10T00:03:53.500000,-2924.78707,-70984.90372,11277.40325,71934.62837
2024-01-10T00:03:54.500000,-2923.88965,-70980.69925,11271.66135,71929.54293
2024-01-10T00:03:55.500000,-2922.99038,-70976.48977,11265.90686,71924.45085
2024-01-10T00:03:56.500000,-2922.08926,-70972.27527,11260.13977,71919.35212
2024-01-10T00:03:57.500000,-2921.18631,-70968.05575,11254.36008,71914.24677
2024-01-10T00:03:58.500000,-2920.28153,-70963.83123,11248.56780,71909.13478
2024-01-10T00:03:59.500000,-2919.37494,-70959.60169,11242.76292,71904.01616
2024-01-10T00:04:00.500000,-2918.46655,-70955.36714,11236.94547,71898.89093
2024-01-10T00:04:01.500000,-2917.55636,-70951.12759,11231.11540,71893.75908
2024-01-10T00:04:02.500000,-2916.64438,-70946.88303,11225.27273,71888.62061
2024-01-10T00:04:03.500000,-2915.73060,-70942.63346,11219.41746,71883.47554
2024-01-10T00:04:04.500000,-2914.81503,-70938.37888,11213.54959,71878.32385
2024-01-10T00:04:05.500000,-2913.89767,-70934.11930,11207.66914,71873.16556
2024-01-10T00:04:06.500000,-2912.97853,-70929.85471,11201.77608,71868.00067
2024-01-10T00:04:07.500000,-2912.05760,-70925.58511,11195.87043,71862.82918
2024-01-10T00:04:08.500000,-2911.13489,-70921.31050,11189.95219,71857.65109
2024-01-10T00:04:09.500000,-2910.21040,-70917.03088,11184.02136,71852.46640
2024-01-10T00:04:10.500000,-2909.28413,-70912.74627,11178.07789,71847.27512
2024-01-10T00:04:11.500000,-2908.35608,-70908.45663,11172.12188,71842.07726
2024-01-10T00:04:12.500000,-2907.42626,-70904.16199,11166.15328,71836.87280
2024-01-10T00:04:13.500000,-2906.49469,-70899.86234,11160.17210,71831.66176
2024-01-10T00:04:14.500000,-2905.56136,-70895.55767,11154.17833,71826.44414
2024-01-10T00:04:15.500000,-2904.62628,-70891.24798,11148.17196,71821.21993
2024-01-10T00:04:16.500000,-2903.68945,-70886.93329,11142.15301,71815.98915
2024-01-10T00:04:17.500000,-2902.75090,-70882.61359,11136.12146,71810.75179
2024-01-10T00:04:18.500000,-2901.81061,-70878.28887,11130.07731,71805.50786
2024-01-10T00:04:19.500000,-2900.86861,-70873.95915,11124.02057,71800.25737
2024-01-10T00:04:20.500000,-2899.92489,-70869.62440,11117.95130,71795.00031
2024-01-10T00:04:21.500000,-2898.97947,-70865.28466,11111.86935,71789.73668
2024-01-10T00:04:22.500000,-2898.03235,-70860.93992,11105.77478,71784.46651
2024-01-10T00:04:23.500000,-2897.08354,-70856.59020,11099.66761,71779.18981
2024-01-10T00:04:24.500000,-2896.13304,-70852.23551,11093.54784,71773.90659
2024-01-10T00:04:25.500000,-2895.18086,-70847.87585,11087.41545,71768.61686
2024-01-10T00:04:26.500000,-2894.22700,-70843.51122,11081.27046,71763.32062
2024-01-10T00:04:27.500000,-2893.27148,-70839.14164,11075.11287,71758.01790
2024-01-10T00:04:28.500000,-2892.31429,-70834.76710,11068.94267,71752.70869
2024-01-10T00:04:29.500000,-2891.35545,-70830.38762,11062.75988,71747.39301
2024-01-10T00:04:30.500000,-2890.39496,-70826.00323,11056.56442,71742.07087
2024-01-10T00:04:31.500000,-2889.43283,-70821.61390,11050.35645,71736.74230
2024-01-10T00:04:32.500000,-2888.46906,-70817.21963,11044.13589,71731.40726
2024-01-10T00:04:33.500000,-2887.50366,-70812.82041,11037.90275,71726.06576
2024-01-10T00:04:34.500000,-2886.53665,-70808.41624,11031.65703,71720.71779
2024-01-10T00:04:35.500000,-2885.56802,-70804.00711,11025.39872,71715.36337
2024-01-10T00:04:36.500000,-2884.59778,-70799.59303,11019.12783,71710.00248
2024-01-10T00:04:37.500000,-2883.62594,-70795.17399,11012.84436,71704.63513
2024-01-10T00:04:38.500000,-2882.65251,-70790.74998,11006.54831,71699.26132
2024-01-10T00:04:39.500000,-2881.67750,-70786.32100,11000.23967,71693.88104
2024-01-10T00:04:40.500000,-2880.70090,-70781.88703,10993.91845,71688.49428
2024-01-10T00:04:41.500000,-2879.72274,-70777.44807,10987.58463,71683.10104
2024-01-10T00:04:42.500000,-2878.74300,-70773.00414,10981.23823,71677.70134
2024-01-10T00:04:43.500000,-2877.76170,-70768.55525,10974.87923,71672.29519
2024-01-10T00:04:44.500000,-2876.77884,-70764.10139,10968.50764,71666.88260
2024-01-10T00:04:45.500000,-2875.79442,-70759.64257,10962.12346,71661.46357
2024-01-10T00:04:46.500000,-2874.80845,-70755.17879,10955.72667,71656.03810
2024-01-10T00:04:47.500000,-2873.82093,-70750.71007,10949.31727,71650.60621
2024-01-10T00:04:48.500000,-2872.83187,-70746.23640,10942.89528,71645.16791
2024-01-10T00:04:49.500000,-2871.84128,-70741.75779,10936.46067,71639.72319
2024-01-10T00:04:50.500000,-2870.84915,-70737.27424,10930.01354,71634.27209
2024-01-10T00:04:51.500000,-2869.85549,-70732.78579,10923.55370,71628.81461
2024-01-10T00:04:52.500000,-2868.86032,-70728.29242,10917.08124,71623.35074
2024-01-10T00:04:53.500000,-2867.86364,-70723.79412,10910.59617,71617.88049
2024-01-10T00:04:54.500000,-2866.86547,-70719.29090,10904.09849,71612.40386
2024-01-10T00:04:55.500000,-2865.86581,-70714.78277,10897.58819,71606.92087
2024-01-10T00:04:56.500000,-2864.86468,-70710.26971,10891.06529,71601.43152
2024-01-10T00:04:57.500000,-2863.86208,-70705.75175,10884.52978,71595.93581
2024-01-10T00:04:58.500000,-2862.85802,-70701.22887,10877.98168,71590.43375
2024-01-10T00:04:59.500000,-2861.85251,-70696.70108,10871.42099,71584.92535
2024-01-10T00:05:00.500000,-2860.84556,-70692.16839,10864.84758,71579.41060
2024-01-10T00:05:01.500000,-2859.83719,-70687.63076,10858.26174,71573.88951
2024-01-10T00:05:02.500000,-2858.82738,-70683.08823,10851.66334,71568.36209
2024-01-10T00:05:03.500000,-2857.81614,-70678.54078,10845.05236,71562.82835
2024-01-10T00:05:04.500000,-2856.80348,-70673.98844,10838.42883,71557.28829
2024-01-10T00:05:05.500000,-2855.78938,-70669.43120,10831.79273,71551.74192
2024-01-10T00:05:06.500000,-2854.77386,-70664.86905,10825.14406,71546.18925
2024-01-10T00:05:07.500000,-2853.75693,-70660.30201,10818.48284,71540.63028
2024-01-10T00:05:08.500000,-2852.73857,-70655.73008,10811.80905,71535.06501
2024-01-10T00:05:09.500000,-2851.71881,-70651.15326,10805.12269,71529.49345
2024-01-10T00:05:10.500000,-2850.69761,-70646.57154,10798.42384,71523.91562
2024-01-10T00:05:11.500000,-2849.67501,-70641.98496,10791.71232,71518.33151
