utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 07:02:57,G23,G,0.091,0.48,1
2026-06-24 07:03:01,G23,G,-0.091,-0.48,1
2026-06-24 07:03:02,G23,G,0.183,0.96,1
2026-06-24 07:03:03,G23,G,6.951,36.53,1
2026-06-24 07:03:07,G23,G,-0.106,-0.55,1
2026-06-24 07:03:10,G23,G,0.101,0.53,1
2026-06-24 07:03:13,G23,G,-0.095,-0.50,1
2026-06-24 07:03:16,G23,G,-3.990,-20.97,2
2026-06-24 07:03:19,G23,G,-0.203,-1.06,1
2026-06-24 07:03:39,G23,G,0.101,0.53,1
2026-06-24 07:03:43,G23,G,-0.094,-0.49,1
2026-06-24 07:04:34,G23,G,0.098,0.51,1
2026-06-24 07:04:43,G23,G,-0.101,-0.53,1
2026-06-24 07:05:06,G23,G,0.087,0.46,1
2026-06-24 07:05:07,G23,G,-0.098,-0.51,1
2026-06-24 07:05:08,G23,G,0.097,0.51,1
2026-06-24 07:05:13,G23,G,-0.097,-0.51,1
2026-06-24 07:05:36,G23,G,0.096,0.50,1
2026-06-24 07:05:37,G23,G,-0.209,-1.10,1
2026-06-24 07:05:38,G23,G,3.920,20.60,1
2026-06-24 07:05:43,G23,G,-0.101,-0.53,1
2026-06-24 07:05:49,G23,G,-0.092,-0.48,1
2026-06-24 07:05:50,G23,G,0.092,0.49,1
2026-06-24 07:06:43,G23,G,-0.099,-0.52,1
2026-06-24 07:06:44,G23,G,0.089,0.47,1
2026-06-24 07:06:52,G23,G,-0.190,-1.00,1
2026-06-24 07:06:53,G23,G,-0.105,-0.55,1
2026-06-24 07:07:12,G23,G,-2.591,-13.61,17
2026-06-24 07:07:13,G23,G,-0.094,-0.49,1
2026-06-24 07:07:31,G23,G,-18.102,-95.13,11
2026-06-24 07:08:53,E32,E,-0.098,-0.52,1
2026-06-24 07:09:38,G16,G,0.093,0.49,1
2026-06-24 07:09:43,G16,G,-0.094,-0.50,1
2026-06-24 07:10:18,G16,G,0.096,0.50,1
2026-06-24 07:10:19,G16,G,-0.098,-0.52,1
2026-06-24 07:10:37,G16,G,0.096,0.51,1
2026-06-24 07:10:43,G16,G,-0.092,-0.48,1
2026-06-24 07:10:56,G16,G,0.089,0.47,1
2026-06-24 07:11:01,G16,G,-0.092,-0.48,1
2026-06-24 07:12:04,E32,E,0.104,0.55,1
2026-06-24 07:18:28,G16,G,0.100,0.52,1
2026-06-24 07:18:31,G16,G,-0.089,-0.47,1
2026-06-24 07:18:41,G16,G,0.099,0.52,1
2026-06-24 07:18:43,G16,G,-0.090,-0.47,1
2026-06-24 07:18:46,G16,G,0.094,0.49,1
2026-06-24 07:18:49,G16,G,-0.103,-0.54,1
2026-06-24 07:18:52,G16,G,0.091,0.48,1
2026-06-24 07:18:55,G16,G,-0.092,-0.48,1
2026-06-24 07:19:13,G16,G,0.087,0.45,1
2026-06-24 07:19:25,G16,G,-0.089,-0.47,1
2026-06-24 07:19:41,G16,G,0.093,0.49,1
2026-06-24 07:19:43,G16,G,-0.100,-0.53,1
2026-06-24 07:19:44,G16,G,0.089,0.47,1
2026-06-24 07:20:19,G16,G,-0.081,-0.43,1
2026-06-24 07:20:21,G16,G,0.101,0.53,1
2026-06-24 07:20:31,G16,G,-0.092,-0.48,1
2026-06-24 07:20:32,G16,G,0.085,0.45,1
2026-06-24 07:20:46,G16,G,-0.086,-0.45,1
2026-06-24 07:20:47,G16,G,-0.121,-0.63,1
2026-06-24 07:21:18,G16,G,26.454,139.02,6
2026-06-24 07:21:31,G16,G,-0.284,-1.49,1
2026-06-24 07:21:32,G16,G,-0.305,-1.60,1
2026-06-24 07:21:51,G16,G,-2.308,-12.13,17
